indicator,ISO Country code,happy planet index : 2019,human development index : 2021,sustainable economic development assessment (SEDA) : 2018,population : 2018,surface area (Km2) : 2018,"GDP growth
(annual %) : 2021 or latest year","GDP 
($ USD billions PPP) : 2021",GDP per capita in $ (PPP) : 2021,Economic Growth : 2021 or latest,"health expenditure 
per person : 2019",infant mortality : 2020,"maternal mortality per 100,000 live births : 2017 (latest year)","education expenditure
% of GDP : 2021 or latest year",Education as % of GDP : 2021 or latest,% of primary school aged kids out of school : 2021 or latest year,unemployment (%) : 2021,% of population in extreme poverty : latest year,% of population with access to electricity : 2020,political rights score : 2022,civil liberties score : 2022,political stability & absence of violence : 2021,government effectiveness : 2021,regulatory quality : 2021,rule of law : 2021,control of corruption : 2021,judicial effectiveness score : 2022,government integrity score : 2022,overall economic freedom score : 2022,financial freedom score : 2022,government expenditure (% of GDP) : 2018,CO2e emissions per capita : 2019,share of electricity from renewables generation : 2020 or latest year,% of seats held by women in national parliaments : 2021,Military Spending as % of GDP : 2021
Afghanistan,AFG,29.4,0.478,-,"36,000,000","652,230",-2.35,,,-2.35,65.8,60.8,638,,3.21,,13.28,0,97.7,1,9,-2.53,-1.6,-1.3,-1.871,-1.14,-,-,-,-,26.3,0.16,82.8,27,
Albania,ALB,51,0.796,53.1,"2,900,000","27,398",8.54,40.8,15646,8.54,,2.4,15,3.1,3.1,3.84,11.82,0,100,28,39,0.11,0,0.2,-0.256,-0.56,49.8,35.6,66.6,70,30.1,1.69,100,36,1.42
Algeria,DZA,46.5,0.745,45.8,"41,000,000","2,381,740",3.85,488.9,12037,3.85,248.2,11.6,112,6.1,6.1,0.18,12.7,,99.8,10,22,-0.88,-0.6,-1.2,-0.816,-0.61,29.7,30.1,45.8,30,42.5,3.98,1.1,8,5.59
Angola,AGO,-,0.586,28.4,"30,000,000","1,246,700",0.7,203.3,6581,0.7,71.3,8.8,241,2.42,2.42,,8.53,11.9,46.9,10,20,-0.71,-1.1,-0.7,-0.952,-0.66,25.3,20.6,52.6,40,32.1,0.79,68.2,30,1.13
Argentina,ARG,50,0.842,57.3,"44,000,000","2,736,690",10.26,985.2,23627,10.26,946,9.7,39,4.72,4.72,0.42,10.9,0.3,100,35,49,-0.11,-0.4,-0.6,-0.462,-0.4,57.9,45.1,50.1,60,38.5,3.74,27.1,45,0.57
Armenia,ARM,54.7,0.759,51.7,"3,000,000","28,203",5.7,39.5,14630,5.7,524,,26,2.71,2.71,10.48,20.9,0.1,100,23,32,-0.84,-0.2,0.1,-0.096,0.07,33.1,50.8,65.3,70,25.8,2.09,24.6,34,4.44
Australia,AUS,43.1,0.951,78.9,"25,000,000","7,682,300",1.48,"1,269.20",55807,1.48,5427.5,3,6,,,1.46,5.11,0.4,100,39,56,0.85,1.5,1.8,1.674,1.74,95.2,87,77.7,90,36,15.24,24.6,31,1.98
Austria,AUT,46.8,0.916,80.3,"9,000,000","82,445",4.48,483.1,58427,4.48,5242.2,17.3,5,,-,0.06,6.3,0.5,100,37,56,0.91,1.6,1.3,1.788,1.27,94.6,82.9,73.8,70,51.8,7.29,83.9,40,0.8
Azerbaijan,AZE,48,0.745,51.1,"10,000,000","82,629",5.6,146.3,15843,5.6,193.1,38.6,26,2.68,2.68,10.46,6.58,,100,2,7,-0.85,0.2,-0.1,-0.585,-0.83,15.9,28.6,61.6,60,36.8,3.54,12.3,18,5.27
Bahamas,BHS,-,0.812,60.4,"400,000","10,010",13.72,12.3,34108,13.72,2004.6,4.9,70,2.78,2.78,,13.24,,100,38,53,0.88,0.5,0.1,0.102,1.18,78.8,64.3,68.7,60,23.8,7.29,0,18,
Bahrain,BHR,33.6,0.875,63.9,"1,300,000",760,2.23,72.3,45411,2.23,940.4,10.5,14,2.15,2.15,2.34,1.87,,100,2,10,-0.51,0.7,0.8,0.471,0.17,27.4,41.6,62,80,33.4,20.27,1.5,15,3.56
Bangladesh,BGD,54.5,0.661,35.3,"165,000,000","130,170",6.94,"1,001.10",6613,6.94,45.9,5.1,173,1.33,1.33,,5.23,,96.2,15,24,-0.97,-0.6,-0.8,-0.611,-0.96,28.1,22.2,52.7,40,13.9,0.56,3.9,21,1.27
Barbados,BRB,-,0.79,60.8,"300,000",430,1.4,3.9,14817,1.4,1143.3,9.6,27,6.45,6.45,2.65,10.41,,100,38,57,1.12,0.5,0.6,0.375,1.24,88.2,68.7,71.3,60,45,4.36,3.3,20,
Belarus,BLR,42.9,0.808,59.9,"10,000,000","202,900",2.51,184.5,21699,2.51,399.4,10,2,4.95,4.95,5.24,4.74,0,100,2,6,-0.74,-0.8,-0.9,-1.1,-0.24,15.5,43.7,53,20,41.7,6.12,29.8,40,1.16
Belgium,BEL,42.5,0.937,77.5,"11,000,000","30,278",6.24,598,58931,6.24,4960.4,56.5,5,,-,0.89,6.42,0.1,100,39,57,0.61,1.1,1.3,1.326,1.48,91.2,83.6,69.6,70,54.1,8.1,52,42,1.08
Belize,BLZ,-,0.683,48.5,"400,000","22,806",9.75,2.6,6921,9.75,293.4,,36,8.71,8.71,0.15,8.22,,97.1,34,53,0.46,-0.5,-0.4,-0.778,-0.3,70.2,38.1,56.6,50,33.9,1.64,3.2,13,1.25
Benin,BEN,41.4,0.525,34.5,"11,000,000","110,622",6.6,42.9,3789,6.6,29.1,52.8,397,3,3,6.72,1.57,4.8,41.4,17,42,-0.3,-0.2,-0.4,-0.594,-0.15,55.3,40.3,61,50,21.9,0.62,,8,0.56
Bhutan,BTN,36.7,0.666,47.7,"800,000","38,394",-10.08,,,-10.08,116,36.1,183,5.68,5.68,3.65,4.33,,100,29,32,0.97,0.8,-0.4,0.636,1.55,60.9,73.5,59.3,30,30.5,1.38,100,17,
Bolivia,BOL,45,0.692,44.8,"11,000,000","1,083,301",6.11,97.3,9030,6.11,245.9,13.1,155,,-,4.9,8.51,0.9,97.6,27,39,-0.32,-0.7,-1.2,-1.163,-0.86,28.4,28.7,43,40,42.2,1.94,35.6,46,1.54
Bosnia and Herzegovina,BIH,47.8,0.78,50.2,"3,900,000","51,187",7.1,51,16846,7.1,553.8,2.2,10,,,,15.22,,100,19,34,-0.38,-1,-0.2,-0.279,-0.64,37.2,33.4,63.4,60,44.1,6.38,37.3,26,0.89
Botswana,BWA,31.9,0.693,44.1,"2,200,000","566,730",11.36,38.4,17604,11.36,481.5,77.5,144,8.74,8.74,,24.72,,72,28,44,0.98,0.4,0.6,0.482,0.69,70.1,61.4,64.8,70,34.9,3.15,0.2,11,2.86
Brazil,BRA,54.6,0.754,51.6,"209,000,000","8,358,140",4.62,"3,127.50",16056,4.62,853.4,11.4,60,,-,,14.4,0.7,100,31,42,-0.49,-0.5,-0.1,-0.28,-0.48,57.2,40,53.3,50,40.5,2.06,86,15,1.19
Brunei,BRN,-,0.829,72.5,"400,000","5,265",-1.61,26.8,66620,-1.61,671.6,23.2,10,,,1.68,7.65,,100,7,21,1.17,1.5,1,0.89,1.25,51.6,61.1,64.8,50,37.5,16.13,0,9,3.26
Bulgaria,BGR,40.1,0.795,59.9,"7,000,000","108,489",4.18,161.7,26705,4.18,697.9,5.8,320,,,,5.42,0.3,99.7,33,46,0.46,-0.1,0.4,-0.044,-0.24,61.1,45.6,71,60,36.3,5.61,21.1,24,1.59
Burkina Faso,BFA,41.5,0.449,33.4,"19,000,000","273,800",6.91,48.2,2462,6.91,42.3,24.3,548,5.52,5.52,24.5,4.76,8.4,19,23,30,-1.64,-0.7,-0.5,-0.438,-0.06,36.3,41.4,58.3,40,23.3,0.25,12.5,6,2.89
Burundi,BDI,37.7,0.426,28.3,"11,000,000","25,680",1.8,8.8,793,1.8,20.6,3.4,,5.04,5.04,10.11,1.79,,11.7,4,10,-1.36,-1.3,-1,-1.294,-1.58,7.1,12.2,39.4,30,26.7,0.06,65.5,38,1.92
Cabo Verde,CPV,-,0.662,-,"500,000","4,033",6.95,3.6,7028,6.95,177.9,6.7,58,7.58,7.58,,,,94.2,38,54,-,-,-,-,-,77.4,60.9,66.7,60,30.8,1.18,19,39,
Cambodia,KHM,48,0.593,38.5,"16,000,000","176,515",3.03,72.2,4683,3.03,113.3,39.2,160,,-,10.85,15.42,,86.4,5,19,-0.13,-0.4,-0.6,-0.9,-1.18,20.9,12.3,57.1,50,21.2,0.98,50.1,22,2.32
Cameroon,CMR,39.9,0.576,32.1,"24,000,000","472,710",3.49,100.7,4064,3.49,54,63.8,529,3.17,3.17,,0.61,,64.7,6,9,-1.41,-0.9,-0.9,-1.097,-1.09,10.9,19.9,52.9,50,21.6,0.36,64.3,34,1.02
Canada,CAN,40.2,0.936,76.9,"37,000,000","9,093,507",4.56,"1,832.10",52085,4.56,5048.4,3.9,10,,,,3.87,,100,40,58,0.94,1.6,1.6,1.627,1.65,96.4,86.7,76.6,80,39.9,15.43,68.8,30,1.32
Central African Republic,CAF,25.2,0.404,16.1,"4,900,000","622,984",0.9,4.6,1021,0.9,37.2,4.4,829,2.17,2.17,,7.51,,15.5,3,4,-2.1,-1.6,-1.5,-1.667,-1.23,12.3,18.3,45.7,30,13.4,0.05,99.4,13,1.86
Chad,TCD,30.4,0.394,20.4,"15,000,000","1,259,200",-1.2,24.5,1591,-1.2,29.9,11.6,1140,2.91,2.91,,1.88,8.4,11.1,1,14,-1.34,-1.4,-1.2,-1.325,-1.48,13.6,13.1,49.8,40,17.7,0.14,,32,2.79
Chile,CHL,45.6,0.855,62.6,"18,000,000","743,812",11.67,496.1,29104,11.67,1375.8,5.5,13,,-,,9.13,0.4,100,38,56,0.06,0.6,1,0.914,0.98,91.4,71.4,74.4,70,25,4.82,48.3,35,1.96
China,CHN,41.9,0.768,50.8,"1,386,000,000","9,326,410",8.11,"24,861.30",19338,8.11,535.1,57.9,29,3.57,3.57,,4.82,0.1,100,-2,11,-0.48,0.8,-0.3,0.035,0.05,37.4,39.3,48,20,30.7,7.61,29.2,25,1.74
Colombia,COL,60.2,0.752,49.1,"49,000,000","1,038,700",10.56,753.9,16894,10.56,495.3,47.2,83,4.93,4.93,1.21,14.34,5.6,100,29,35,-0.91,0,0.2,-0.452,-0.34,59.1,42,65.1,70,29.2,1.61,67.1,19,3.4
Comoros,COM,42.4,0.558,-,"800,000","2,235",2.35,2.7,3284,2.35,72.3,12.2,273,,,,9.45,,86.7,16,26,-0.23,-1.8,-1.2,-1.225,-1.29,21.2,20.1,50.4,30,27.2,0.38,0.4,17,
Congo (Dem. Rep.),COD,40.5,0.479,24.8,"81,000,000","2,267,048",5.71,102.5,1219,5.71,20.6,33,473,2.7,2.7,,5.43,,19.1,2,15,-1.61,-1.7,-1.4,-1.704,-1.55,13.2,11.8,47.6,20,13.2,0.04,28.9,13,0.56
Congo (Rep.),COG,47.2,0.571,32.7,"4,500,000","341,500",-3.5,18.6,3617,-3.5,48.6,11.4,378,4.45,4.45,,23.01,,49.5,4,15,-0.61,-1.6,-1.4,-1.136,-1.37,14.9,13.4,48.5,30,47.1,1.35,99.9,11,2.91
Costa Rica,CRI,62.1,0.809,58.9,"4,900,000","51,060",7.58,109.3,23387,7.58,921.6,14,27,6.71,6.8,0.07,17.95,0.9,99.9,38,53,0.87,0.3,0.5,0.452,0.5,78.4,63.1,65.4,50,19.3,1.63,99.8,46,
Cote d'Ivoire,CIV,39.6,0.55,30.5,"24,000,000","318,003",7.02,146.3,5940,7.02,75.1,48.3,617,3.44,3.44,3.34,3.47,2.4,69.7,19,30,-0.95,-0.5,-0.3,-0.634,-0.37,30,33.8,61.6,50,22.6,0.42,,14,1.25
Croatia,HRV,46.2,0.858,64.5,"4,200,000","55,974",10.45,121.1,33801,10.45,1040.1,46.7,8,,-,,8.68,0.2,100,36,49,0.71,0.6,0.5,0.303,0.06,69.9,50,67.6,60,47.4,4.06,59.2,31,2.74
Cuba,CUB,-,0.764,-,"11,000,000","109,820",-10.95,0,,-10.95,1031.9,,36,,-,0.2,2.76,,100,1,11,0.43,-0.2,-1.4,-0.404,-0.01,15.6,39.9,29.5,10,62.4,2.29,4.6,53,
Cyprus,CYP,49.4,0.896,65.9,"800,000","9,241",5.51,36.7,42556,5.51,1996.5,2.3,6,,-,,6.13,0.2,100,38,55,0.44,0.7,0.9,0.637,0.39,90.9,62.9,72.9,60,39.6,6,13.3,14,1.99
Czech Republic,CZE,46.8,0.889,71.1,"11,000,000","77,247",3.34,425.8,44261,3.34,1844.2,3.1,3,,4.27,,2.89,0,100,36,55,0.96,1.1,1.3,1.126,0.64,81.8,59.6,74.4,80,41.4,9.02,15.6,25,1.43
Denmark,DNK,45.3,0.948,82,"6,000,000","42,434",4.69,340.8,64651,4.69,6003.3,27.9,4,,6.79,,4.8,0.2,100,40,57,0.95,2,1.8,1.936,2.37,89.6,99.5,78,80,54.6,5.11,85.2,40,1.37
